stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days,PC 1,PC 2,PC 3,Class
REN,28,48,-30,8298,1997,3458,2593,3,-8,-6,0.3438794656926345,0.3570776374760079,3.088776288723757,1
MGM,25,27,-21,7755,1356,981,1636,-1,-3,-2,0.4041759104107704,0.08283768553698999,3.1402623535685876,1
MSFT,0,18,-28,6607,35513,24992,15986,14,4,4,2.9198803138412894,4.8745940009564315,-0.02219521756885705,0
ORCL,1,28,-21,6566,27484,16514,8904,14,2,8,1.513445026920524,3.4748968207073676,0.8756629312391797,0
WB,8,53,-33,5728,4473,4516,4460,3,1,3,-0.005646075808184105,0.30702222011425073,1.4108530879394003,1
PFE,-1,55,-56,4428,6782,14249,10680,-7,-19,-10,2.4658863194790657,0.22396438564250917,0.2945984157659147,2
SPOT,52,55,-31,4273,11473,11505,14044,28,21,12,-1.5186990955899398,3.028386819315126,0.09876733663575635,3
RACE,14,28,-31,3592,6359,6662,6257,4,10,13,-0.03095829128170571,0.61292543844854,0.23492790623626827,1
BA,2,45,-41,3481,16941,10921,5905,-20,-15,-4,2.382151777520241,0.4141301576315603,0.7371742484751481,2
BLK,-22,22,-51,2947,2167,2704,2288,-14,-10,-8,2.3468391044533736,-2.0021149232099282,0.11049449529007907,4
NFLX,-1,30,-35,2899,7904,13419,14138,-4,-12,-4,2.2735180714550767,0.7859433133554848,0.2441643677357041,2
GOOG,-55,21,-57,2877,8234,8842,14473,-15,-13,-15,4.283196640900821,-0.963538087448959,-1.0653731726116593,2
GME,16,50,-40,2872,2541,2833,3127,22,17,14,-1.6876412196958193,0.09853034073740682,-0.4083006592994251,3
DISCB,27,41,-10,2404,5122,3279,3783,12,7,-4,-0.8835312350562905,0.5057949679404681,1.7449016991494568,1
AMC,7,53,-50,2335,2110,2627,2740,28,29,26,-2.4635071957408456,0.03979830458520979,-1.7807443677850567,3
TSLA,24,55,-33,2260,13061,25809,18175,8,14,4,0.6070114288541363,3.289562269751545,-0.799495776245367,0
TM,-31,40,-57,2169,2171,2849,2852,16,11,10,-0.008119907681879179,-1.2159894985237487,-1.788976181708578,4
RBLX,-43,28,-54,2070,5336,4489,9932,-11,-7,-4,2.6732170862314213,-1.3950035990451048,-1.1138227373502148,2
GS,21,52,-43,1981,8155,5178,3037,5,14,8,-0.76508525061073,0.10744153065615736,-0.39886952547628807,1
GBR,-7,24,-36,1860,1472,1271,984,9,13,12,-0.447377602706008,-0.9802703324903854,-0.5231254744236521,1
JPM,-12,40,-38,1789,1386,2452,2511,-11,0,-6,0.9101422499149172,-1.536006827797749,0.33975039187505335,4
AAPL,21,32,-32,1676,21948,30138,35866,1,0,-6,3.3915432045487943,4.766443231175477,-1.2866886502559378,0
OLB,3,26,-19,1561,1287,782,424,21,15,14,-1.511845463477709,-0.36073243724683884,0.12322031469493909,1
SBUX,-13,42,-46,1552,2303,4066,9918,-8,-7,-10,1.6811168276456994,-1.1530171985901911,-0.20258156133403876,4
