,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,A,2022-03-13,2,18,0,12,6,7,7
1,AA,2022-03-13,0,0,0,1,19,20,17
2,AAC,2022-03-13,-3,0,-7,5,6,0,4
3,AAL,2022-03-13,0,15,-9,51,2,1,1
4,AAPL,2022-03-13,5,19,-12,62,2,-6,-8
5,AAU,2022-03-13,0,0,0,1,14,11,8
6,ABBV,2022-03-13,0,13,-12,9,11,10,14
7,ABC,2022-03-13,18,18,0,1,15,12,13
8,ABCL,2022-03-13,18,18,0,1,3,3,3
9,ABEV,2022-03-13,-5,0,-5,1,6,8,9
10,ABIO,2022-03-13,-5,0,-11,6,4,5,5
11,ABNB,2022-03-13,-5,27,-25,144,-1,1,3
12,ABT,2022-03-13,0,0,0,5,13,5,7
13,ABUS,2022-03-13,-8,0,-12,6,8,8,5
14,ACB,2022-03-13,5,19,-11,11,13,9,11
15,ACI,2022-03-13,-4,0,-7,2,4,4,2
16,ACN,2022-03-13,-1,16,-14,10,6,0,3
17,ACRX,2022-03-13,20,20,0,1,10,8,6
18,ACST,2022-03-13,18,18,0,1,6,7,8
19,ADBE,2022-03-13,-11,28,-35,316,12,11,11
20,ADI,2022-03-13,12,12,0,2,6,5,8
21,ADM,2022-03-13,9,18,0,4,12,13,10
22,ADMP,2022-03-13,5,20,0,4,3,8,3
23,ADP,2022-03-13,3,7,0,2,10,10,9
24,ADS,2022-03-13,25,29,0,47,17,15,14
25,ADSK,2022-03-13,10,12,0,20,13,11,13
26,ADT,2022-03-13,0,0,0,2,-3,-1,0
27,AEE,2022-03-13,11,11,0,2,12,10,10
28,AEI,2022-03-13,17,17,0,2,23,20,14
29,AEP,2022-03-13,18,18,0,1,10,10,8
30,AFL,2022-03-13,0,0,0,1,5,4,7
31,AFRM,2022-03-13,-8,18,-11,13,13,11,13
32,AG,2022-03-13,18,18,0,2,22,17,14
33,AGCB,2022-03-13,19,19,0,1,14,11,8
34,AGNC,2022-03-13,4,4,0,1,14,10,7
35,AGR,2022-03-13,18,18,0,1,26,20,12
36,AGRX,2022-03-13,2,4,0,8,6,6,3
37,AGTC,2022-03-13,0,0,0,3,6,7,4
38,AHPI,2022-03-13,16,16,0,4,8,8,8
39,AHT,2022-03-13,0,0,0,4,6,5,7
40,AI,2022-03-13,19,19,0,1,11,9,8
41,AIRI,2022-03-13,0,0,0,1,8,10,12
42,AIV,2022-03-13,2,7,0,4,7,7,5
43,AJG,2022-03-13,18,18,0,1,9,8,8
44,AKAM,2022-03-13,13,13,0,3,11,10,9
45,AKBA,2022-03-13,-6,0,-12,6,6,7,4
46,AKRO,2022-03-13,17,17,0,2,14,11,9
47,ALB,2022-03-13,20,20,0,2,7,7,7
48,ALC,2022-03-13,15,15,0,1,8,2,6
49,ALF,2022-03-13,0,0,0,5,8,10,7
50,ALGN,2022-03-13,10,15,0,3,7,6,7
51,ALIM,2022-03-13,7,7,0,1,12,12,10
52,ALK,2022-03-13,19,19,0,1,5,4,5
53,ALL,2022-03-13,6,17,-13,9,16,13,13
54,ALLE,2022-03-13,20,20,0,2,7,9,6
55,ALLY,2022-03-13,0,0,0,4,12,9,7
56,ALT,2022-03-13,9,9,0,2,16,11,10
57,ALTM,2022-03-13,20,20,0,1,3,5,2
58,ALXN,2022-03-13,20,20,0,1,6,4,7
59,AM,2022-03-13,0,0,0,5,3,3,4
60,AMAT,2022-03-13,7,7,0,1,9,9,11
61,AMC,2022-03-13,20,41,-29,359,29,27,24
62,AMD,2022-03-13,16,25,-14,38,31,30,27
63,AME,2022-03-13,19,19,0,1,12,11,8
64,AMED,2022-03-13,18,18,0,1,7,5,5
65,AMG,2022-03-13,14,14,0,1,8,6,6
66,AMGN,2022-03-13,-2,19,-12,10,3,6,6
67,AMKR,2022-03-13,0,0,0,1,6,6,5
68,AMPH,2022-03-13,19,19,0,6,10,11,10
69,AMPY,2022-03-13,-10,26,-32,138,-12,-24,-18
70,AMRH,2022-03-13,-16,0,-16,4,-4,-7,-4
71,AMRN,2022-03-13,0,0,0,4,3,5,5
72,AMRS,2022-03-13,-15,0,-15,1,3,6,5
73,AMST,2022-03-13,20,20,0,1,2,6,5
74,AMT,2022-03-13,13,13,0,6,13,11,12
75,AMTX,2022-03-13,18,18,0,1,13,12,9
76,AMZN,2022-03-13,-22,14,-32,68,4,0,-4
77,AN,2022-03-13,6,18,-6,2,8,11,8
78,ANET,2022-03-13,18,18,0,1,12,9,11
79,ANTM,2022-03-13,17,17,0,3,13,10,9
80,ANY,2022-03-13,9,14,-10,10,16,16,16
81,APC,2022-03-13,-8,0,-8,1,1,2,4
82,APD,2022-03-13,20,20,0,1,11,8,8
83,APH,2022-03-13,9,9,0,1,10,9,8
84,APLT,2022-03-13,4,20,0,5,8,8,6
85,APP,2022-03-13,7,7,0,1,7,6,6
86,APPN,2022-03-13,-4,0,-4,1,0,2,3
87,APPS,2022-03-13,0,0,0,3,15,16,14
88,APRE,2022-03-13,2,10,0,5,15,12,13
89,APRN,2022-03-13,18,18,0,1,6,1,1
90,APT,2022-03-13,0,0,0,4,4,3,4
91,AQST,2022-03-13,20,20,0,1,6,8,5
92,ARAY,2022-03-13,20,20,0,1,15,12,7
93,ARE,2022-03-13,0,0,0,3,3,4,5
94,AREC,2022-03-13,20,20,0,1,11,7,7
95,ARKO,2022-03-13,-17,0,-17,1,5,4,5
96,ARNC,2022-03-13,-20,0,-20,1,-7,-1,1
97,ARVL,2022-03-13,6,29,-17,474,0,-8,2
