,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,AAPL,46,54,-35,21618,21966,28702,34896,1,3,-4
1,MCD,-1,33,-40,18360,20273,13872,10639,-9,-21,-6
2,BCS,67,68,-33,14294,4216,2942,2998,21,7,0
3,RFIL,-74,31,-75,14129,3246,2067,1292,-16,-19,-11
4,PYPL,-2,38,-51,13424,3696,9378,6560,-11,-15,-15
5,KKR,39,43,-17,11846,5337,4968,9420,29,14,21
6,MSFT,39,71,-26,7997,12124,12703,10283,16,4,5
7,ORCL,23,53,-34,6587,2377,3959,3317,12,1,10
8,PFE,10,64,-58,5925,4181,13198,11702,-3,-18,-6
9,ADBE,21,25,-35,5420,9264,8392,5271,6,13,12
10,MSTR,-62,27,-63,4485,720,465,478,0,4,6
11,ARVL,7,33,-23,3800,7623,5551,4488,-3,-6,0
12,NKE,1,34,-21,3546,8080,7534,5616,19,18,8
13,IMMR,1,29,-20,3247,889,728,863,3,1,2
14,BLK,27,34,-36,2955,2488,2438,2203,-10,-8,-8
15,RBLX,-8,25,-32,2770,4810,4110,10254,-10,-5,-3
16,MX,68,68,0,2748,682,444,668,45,36,35
17,GME,23,46,-26,2249,2256,2712,3021,18,16,14
18,WTRE,35,48,-28,2160,2322,4367,3898,6,7,6
19,TSLA,3,44,-36,2065,12778,25637,19193,5,11,2
20,AMC,29,51,-32,2022,1889,2561,2676,30,28,26
21,MRNA,8,41,-42,1982,1688,2125,6907,6,-4,-5
22,TM,9,34,-26,1849,2016,2854,2920,21,11,13
23,FRAN,0,20,-12,1801,261,133,67,2,4,4
24,AMZN,-3,32,-42,1787,9950,7012,9209,-2,-6,-4
25,YETI,4,35,-22,1782,544,493,487,10,5,6
26,WB,1,27,-36,1711,3190,4016,4209,3,1,3
27,GOOG,-31,31,-39,1613,7917,19857,14637,3,-10,-13
28,M,34,36,-17,1598,443,454,431,10,5,7
29,CRM,-1,40,-41,1588,1807,1269,1026,-5,2,4
30,SPY,23,49,-36,1556,1576,1777,1886,13,10,9
31,F,1,37,-36,1512,3656,6347,5518,-3,4,-7
32,DISCB,-32,34,-55,1489,5019,3719,3694,9,-1,-5
33,SHOP,41,53,-23,1453,1078,1069,1311,20,13,13
34,GM,5,39,-42,1448,1641,1586,1643,8,5,10
35,ABNB,-16,37,-43,1282,1525,7805,5077,2,1,3
36,PDCO,6,36,-18,1181,413,471,595,7,3,2
37,COST,27,48,-34,1165,1070,1319,1591,10,8,7
38,DB,-6,35,-36,1129,4795,2844,3461,-18,-16,-13
39,AMPY,-27,32,-51,1115,1496,2323,3450,-10,-23,-19
40,SNAP,3,29,-29,1088,615,1470,1470,9,4,9
41,LAKE,0,16,-14,1033,279,278,242,9,10,11
42,REN,-6,44,-44,1032,731,2990,2802,8,-9,-8
43,AAC,-1,37,-43,972,441,443,443,0,0,2
44,FNKO,17,45,-30,912,2080,2125,2482,13,9,6
45,OXY,51,56,-16,903,700,820,489,33,22,17
46,HMC,13,42,-30,866,2424,2693,2118,4,4,6
47,VZ,34,53,-25,864,1116,1194,2539,12,10,8
48,NTDOY,0,29,-23,854,8597,8178,11142,3,10,10
49,GS,29,48,-27,835,8420,5007,3020,11,14,5
